"","StockName","AssetCategory","AssetClass","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","weightCalc"
"62","KCB (RIGHTS)","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"63","Flame Tree Group Holdings Ltd Ord 0.825","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,-9.615,0,0,-9.615,0,0,"Nairobi All Share Index",0,0.002673618,-0.096153846,0,0
"64","KenolKobil Ltd Ord 0.05","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"65","CMC Holdings Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"66","Bamburi Cement Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.03,8.02085e-05,-3,0.654,-0.008,0.012,0.65,0.004,0,"Nairobi All Share Index",0,0.002673618,0.006622517,0,0
"67","NIC Rights Issue","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"68","Athi River Mining Ord 5.00","Listed Equity","EQUITIES",4856250,0.289500009,4856250,1,"7/1/2019",0,0,0,0,28.95,0,0.077,0,-0.077,0.077,1,"Nairobi All Share Index",0,0.002673618,0,4856250,0.0031785722757711
"69","A.Baumann Co. Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"70","Kapchorua Tea Co. Ltd Ord Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.03,8.02085e-05,-3,7.965,-0.008,0.231,7.742,0.223,0,"Nairobi All Share Index",0,0.002673618,0.079734219,0,0
"71","Marshalls (E.A.) Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"72","Deacons (East Africa) Plc Ord 2.50","Listed Equity","EQUITIES",213255,0.012712963,213255,1,"7/1/2019",0,0,0,0,1.271,0,0.003,0,-0.003,0.003,1,"Nairobi All Share Index",0,0.002673618,0,213255,0.000139582276585754
"73","Kurwitu Ventures Ltd Ord 100.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"74","Sasini Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,5.249,0,0,5.249,0,0,"Nairobi All Share Index",0,0.002673618,0.052486188,0,0
"75","Home Africa Ltd Ord1.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"76","DTB Rights Issue","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"77","Kakuzi Ord.5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,-9.091,0,0,-9.091,0,0,"Nairobi All Share Index",0,0.002673618,-0.090909091,0,0
"78","British American Tobacco Kenya Ltd Ord 10.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.05,0.000133681,-5,0.787,-0.013,0.027,0.773,0.013,0,"Nairobi All Share Index",0,0.002673618,0.008,0,0
"79","Eveready East Africa Ltd Ord.1.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,-2.913,0,0,-2.913,0,0,"Nairobi All Share Index",0,0.002673618,-0.029126214,0,0
"80","KenGen Ltd Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.01,2.67362e-05,-1,-0.339,-0.003,-0.006,-0.331,-0.009,0,"Nairobi All Share Index",0,0.002673618,-0.003367003,0,0
"81","Sanlam Kenya Plc Ord 5.00","Listed Equity","EQUITIES",193684,0.011546259,193684,1,"7/1/2019",0,0,0.04,0.011,-2.845,-0.011,-0.008,-0.011,0.008,-0.018,1,"Nairobi All Share Index",0,0.002673618,0,193684,0.000126772425773066
"82","Nation Media Group Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0.408,0,0,0.408,0,0,"Nairobi All Share Index",0,0.002673618,0.004081633,0,0
"83","Total Kenya Ltd Ord 5.00","Listed Equity","EQUITIES",280250,0.016706796,280250,0.96440678,"7/1/2019",0,0,0.02,0.005,-0.329,-3.565,-0.001,-0.077,-3.487,-0.077,1,"Nairobi All Share Index",-0.000594649,0.002673618,-0.03559322,270275,0.00017690370591177
"84","Standard Chartered Bank Ltd Ord 5.00","Listed Equity","EQUITIES",3042758,0.181390676,3042758,0.996143959,"7/1/2019",0,0,0.05,0.013,13.139,-0.399,0.035,-0.033,-0.401,0.002,1,"Nairobi All Share Index",-0.00069945,0.002673618,-0.003856041,3031025,0.0019839036359679
"85","Longhorn Kenya Ltd Ord 1.00 AIMS","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,2.564,0,0,2.564,0,0,"Nairobi All Share Index",0,0.002673618,0.025641026,0,0
"86","Safaricom Ltd Ord 0.05","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.11,0.000294098,-11,0.149,-0.029,-0.01,0.188,-0.039,0,"Nairobi All Share Index",0,0.002673618,0.001779359,0,0
"87","KPLC Rights","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
