"","Id","InvestorId","StockId","StockName","AssetCategory","AssetClass","OpeningVolume","PurchaseVolume","SaleVolume","PurchaseValue","SaleValue","ClosingVolume","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Revaluation","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","OpeningStockPrice","ClosingStockPrice","StockPerformanceBasedOnPrice","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","AssetCategoryId","AssetClassId","InstrumentType","InstrumentId","test_Units","difUnits","test_UnitPRice","difUnitPrice","test_ActualPerformance","diffActualPerformance","test_Weight","diffWeights","test_weightedPerformance","diffweightedPerformance","test_BenchmarkPerf","diffBenchmarkPerf","test_BenchmarkWeight","diffBenchmarkWeight","test_WeightedBMPerformance","diffWeightedBMPerf","test_ActiveWeight","diffActiveWeight","test_ActiveReturn","diffActiveReturn","test_SelectionEffect","diffSelectionEffect","test_AllocationEffect","diffAllocationEffect","test_InteractionEffect","diffInteractionEffect","test_ActiveManagementEffect","diffActiveManagement"
"1111","D790064B-13BA-4EFF-95C8-94250B15AF34","63E966AC-F07A-E411-8298-A45D36CA17D6","979AF572-FDE4-E011-8DD5-F8BB536C7A63","Stanbic Holdings Plc Ord.5.00","Listed Equity","EQUITIES",38200,0,0,0,0,38200,702793.8,0.04308687,702793.8,1,"00:00.0",1,0,0,0.05,0,-0.691,0,0,0,0,0,96,96,0,1,"Nairobi All Share Index",0,0,0,702793.8,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",702793.8,0,1,0,0,0,0.000460001212512498,-0.0426268687874875,0,0,0,0,0.05,0,0,0,-0.0495399987874875,0.641460001212512,0,0,0,0,0,0,0,0,0,0
"1112","2ECEDCBE-7F38-45EA-B2F8-B7562E34BA8E","63E966AC-F07A-E411-8298-A45D36CA17D6","BA757914-96EB-E211-AD2F-000C29D7DB13","I&M Holdings Ltd Ord 1.00","Listed Equity","EQUITIES",93520,0,0,0,0,93520,352560,0.021614742,352560,0.995575221,"00:00.0",1,0,0,0,0,2.161,-0.442,0,0,-0.442,0,45.2,45,-0.004424779,1,"Nairobi All Share Index",-0.0000956405,0,-0.004424779,351000,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",352560,0,0.995575221238938,0.000000000238938091534635,-0.00442477876106195,0.000000000238938046431825,0.000229740822403224,-0.0213850011775968,-0.00000101655231151869,0.0000946239476884813,0,0,0,0,0,0,0.000229740822403224,-2.1607702591776,-0.00442477876106195,0.437575221238938,0,0,0,0,-0.00442477876106195,0.437575221238938,0,0
"1113","44EE2CA5-8327-4A27-B213-CF65B17D773B","63E966AC-F07A-E411-8298-A45D36CA17D6","5B3033A4-5E8A-DF11-89DA-001C26EE1812","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",100213,0,0,0,0,100213,868393.95,0.053239481,868393.95,0.973042189,"00:00.0",1,0,0,0.04,0,1.324,-2.696,0,-0.108,-2.588,-0.108,370,360,-0.027027027,1,"Nairobi All Share Index",-0.00143522,0,-0.026957811,844983.95,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",868393.95,0,0.973042188974255,-0.0000000000257446286511254,-0.0269578110257447,-0.0000000000257446806928296,0.000553069252394657,-0.0526864117476053,-0.0000149095363902051,0.0014203104636098,0,0,0.04,0,0,0,-0.0394469307476053,-1.36344693074761,-0.0269578110257447,2.66904218897426,-0.00107831244102979,0.10692168755897,0,0,-0.0258794985847149,2.56212050141529,-0.00107831244102979,0.10692168755897
"1114","4964A07F-7827-4C1C-BCE9-D97A54AEAF6C","63E966AC-F07A-E411-8298-A45D36CA17D6","1D816DB5-49A7-E211-AA69-000C29D7DB13","Liberty Kenya Holdings Ltd Ord.1.00","Listed Equity","EQUITIES",921,0,0,0,0,921,299400,0.01835561,299400,1.002004008,"00:00.0",1,0,0,0,0,1.836,0.2,0,0,0.2,0,9.98,10,0.002004008,1,"Nairobi All Share Index",0.0000367848,0,0.002004008,300000,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",299400,0,1.00200400801603,0.0000000000160320645647971,0.00200400801603196,0.0000000000160319552772181,0.000196359677267713,-0.0181592503227323,0.000000393506367269944,-0.0000363912936327301,0,0,0,0,0,0,0.000196359677267713,-1.83580364032273,0.00200400801603196,-0.197995991983968,0,0,0,0,0.00200400801603196,-0.197995991983968,0,0
"1115","C87F9717-FBDE-4330-AADA-51F8394BA4DE","63E966AC-F07A-E411-8298-A45D36CA17D6","543033A4-5E8A-DF11-89DA-001C26EE1812","Uchumi Supermarket Ltd Ord 5.00","Listed Equity","EQUITIES",37,0,0,0,0,37,6003,0.000368032,6003,1,"00:00.0",1,0,0,0,0,0.037,0,0,0,0,0,0.29,0.29,0,1,"Nairobi All Share Index",0,0,0,6003,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",6003,0,1,0,0,0,0.00000392915714212693,-0.000364102842857873,0,0,0,0,0,0,0,0,0.00000392915714212693,-0.0369960708428579,0,0,0,0,0,0,0,0,0,0
"1116","3FA4D6E3-EC70-4C0D-A1A3-68393941FD97","63E966AC-F07A-E411-8298-A45D36CA17D6","6D3033A4-5E8A-DF11-89DA-001C26EE1812","Kenya Power Lighting Co Ltd Ord 20.00","Listed Equity","EQUITIES",51,0,0,0,0,51,57872.5,0.003548046,57872.5,0.997142857,"00:00.0",1,0,0,0.01,0,-0.645,-0.286,0,-0.003,-0.283,-0.003,3.5,3.49,-0.002857143,1,"Nairobi All Share Index",-0.0000101373,0,-0.002857143,57707.15,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",57872.5,0,0.997142857142857,0.000000000142857170537525,-0.00285714285714278,0.000000000142857219543463,0.0000377711911667983,-0.0035102748088332,-0.000000107917689047992,0.000010029382310952,0,0,0.01,0,0,0,-0.0099622288088332,0.635037771191167,-0.00285714285714278,0.283142857142857,-0.0000285714285714278,0.00297142857142857,0,0,-0.00282857142857135,0.280171428571429,-0.0000285714285714278,0.00297142857142857
"1117","0AE84093-01AE-4AD4-8352-6111548FA31B","63E966AC-F07A-E411-8298-A45D36CA17D6","5C3033A4-5E8A-DF11-89DA-001C26EE1812","Kenya Commercial Bank Ltd Ord 1.00","Listed Equity","EQUITIES",3188846,0,0,0,0,3188846,5119473.4,0.313864588,5119473.4,1.006426735,"00:00.0",1,0,0,0.05,0,26.386,0.643,0,0.032,0.611,0.032,38.9,39.15,0.006426735,1,"Nairobi All Share Index",0.002017125,0,0.006426735,5152374.9,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",5119473.4,0,1.00642673521851,0.00000000021850898868081,0.00642673521850901,0.000000000218509005160683,0.00337239557508755,-0.310492192424912,0.0000216734934131591,-0.00199545150658684,0,0,0.05,0,0,0,-0.0466276044249125,-26.4326276044249,0.00642673521850901,-0.636573264781491,0.00032133676092545,-0.0316786632390745,0,0,0.00610539845758355,-0.604894601542416,0.00032133676092545,-0.0316786632390745
"1118","533E19AE-65B6-42BF-ABB9-34B65E81FE0C","63E966AC-F07A-E411-8298-A45D36CA17D6","6F3033A4-5E8A-DF11-89DA-001C26EE1812","Total Kenya Ltd Ord 5.00","Listed Equity","EQUITIES",88200,0,0,0,0,88200,267900,0.016424409,267900,0.971631206,"00:00.0",1,0,0,0.02,0,-0.358,-2.837,0,-0.057,-2.78,-0.057,28.2,27.4,-0.028368794,1,"Nairobi All Share Index",-0.000465941,0,-0.028368794,260300,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",267900,0,0.971631205673759,-0.000000000326241145209849,-0.0283687943262412,-0.000000000326241176434872,0.000170374746642619,-0.0162540342533574,-0.0000048333261458899,0.00046110767385411,0,0,0.02,0,0,0,-0.0198296252533574,0.338170374746643,-0.0283687943262412,2.80863120567376,-0.000567375886524824,0.0564326241134752,0,0,-0.0278014184397164,2.75219858156028,-0.000567375886524824,0.0564326241134752
"1119","43606B88-EC25-46B0-B354-00A872AC0D38","63E966AC-F07A-E411-8298-A45D36CA17D6","5F3033A4-5E8A-DF11-89DA-001C26EE1812","Sanlam Kenya Plc Ord 5.00","Listed Equity","EQUITIES",443057,0,0,0,0,443057,172426,0.01057109,172426,0.953424658,"00:00.0",1,0,0,0.04,0,-2.943,-4.658,0,-0.186,-4.471,-0.186,18.25,17.4,-0.046575342,1,"Nairobi All Share Index",-0.000492352,0,-0.046575342,164395.2,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",172426,0,0.953424657534247,-0.000000000465753324796481,-0.0465753424657533,-0.000000000465753345613162,0.00010760196138787,-0.0104634880386121,-0.00000501159820162683,0.000487340401798373,0,0,0.04,0,0,0,-0.0398923980386121,2.90310760196139,-0.0465753424657533,4.61142465753425,-0.00186301369863013,0.18413698630137,0,0,-0.0447123287671232,4.42628767123288,-0.00186301369863013,0.18413698630137
"1120","F3BF56ED-81A6-489A-9A30-179FEC200527","63E966AC-F07A-E411-8298-A45D36CA17D6","7CA8FB65-6659-E611-973B-B8CA3AFA18DD","Deacons (East Africa) Plc Ord 2.50","Listed Equity","EQUITIES",1822624,0,0,0,0,1822624,213255,0.013074234,213255,1,"00:00.0",1,0,0,0,0,1.307,0,0,0,0,0,0.45,0.45,0,1,"Nairobi All Share Index",0,0,0,213255,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",213255,0,1,0,0,0,0.000139582276585754,-0.0129346517234142,0,0,0,0,0,0,0,0,0.000139582276585754,-1.30686041772341,0,0,0,0,0,0,0,0,0,0
"1121","1FB797F8-448A-4C52-A79E-29A327C43962","63E966AC-F07A-E411-8298-A45D36CA17D6","603033A4-5E8A-DF11-89DA-001C26EE1812","Standard Chartered Bank Ltd Ord 5.00","Listed Equity","EQUITIES",463920,0,0,0,0,463920,3050580,0.187269696,3050580,1.001282051,"00:00.0",1,0,0,0.05,0,13.727,0.128,0,0.006,0.122,0.006,195,195.25,0.001282051,1,"Nairobi All Share Index",0.000240089,0,0.001282051,3054491,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",3050580,0,1.00128205128205,0.000000000282051271227601,0.00128205128205128,0.000000000282051277515974,0.00199926288992378,-0.185270433110076,0.00000256315755118432,-0.000237525842448816,0,0,0.05,0,0,0,-0.0480007371100762,-13.7750007371101,0.00128205128205128,-0.126717948717949,0.0000641025641025639,-0.00593589743589744,0,0,0.00121794871794871,-0.120782051282051,0.0000641025641025639,-0.00593589743589744
"1122","12408A50-249A-484E-A456-536B86CE561A","63E966AC-F07A-E411-8298-A45D36CA17D6","37C7FE8A-49A7-E211-AA69-000C29D7DB13","CIC Insurance Group Ltd Ord.1.00","Listed Equity","EQUITIES",400000,0,0,0,0,400000,131931,0.00809901,131931,0.996884735,"00:00.0",1,0,0,0.03,0,-2.19,-0.312,0,-0.009,-0.302,-0.009,3.21,3.2,-0.003115265,1,"Nairobi All Share Index",-0.0000252306,0,-0.003115265,131520,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",131931,0,0.996884735202492,0.000000000202492245193753,-0.00311526479750779,0.000000000202492211366645,0.0000860840825141653,-0.00801292591748583,-0.000000268174711882135,0.0000249624252881179,0,0,0.03,0,0,0,-0.0299139159174858,2.16008608408251,-0.00311526479750779,0.308884735202492,-0.0000934579439252337,0.00890654205607477,0,0,-0.00302180685358256,0.298978193146417,-0.0000934579439252337,0.00890654205607477
"1123","6E87C39D-04EE-4812-8FF3-57AFC6A78A72","63E966AC-F07A-E411-8298-A45D36CA17D6","6D3033A4-5E8A-DF11-89DA-001C26EE1812","Kenya Power Lighting Co Ltd Ord 20.00","Listed Equity","EQUITIES",51,0,0,0,0,51,57707.15,0.00354254,57707.15,0.885386819,"00:00.0",1,0,0,0.01,0,-0.646,-11.461,0,-0.115,-11.347,-0.115,3.49,3.09,-0.114613181,1,"Nairobi All Share Index",-0.000406022,0,-0.114613181,51093.15,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",57707.15,0,0.885386819484241,0.000000000484240647580236,-0.114613180515759,0.0000000004842406892136,0.0000334421148153028,-0.0035090978851847,-0.00000383290714215505,0.000402189092857845,0,0,0.01,0,0,0,-0.0099665578851847,0.636033442114815,-0.114613180515759,11.3463868194842,-0.00114613180515759,0.113853868194842,0,0,-0.113467048710602,11.2335329512894,-0.00114613180515759,0.113853868194842
"1124","3118C310-D60B-42AA-B994-6CA66E633916","63E966AC-F07A-E411-8298-A45D36CA17D6","5B3033A4-5E8A-DF11-89DA-001C26EE1812","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",100213,0,0,0,0,100213,844983.95,0.051872066,844983.95,0.916885995,"00:00.0",1,0,0,0.04,0,1.187,-8.311,0,-0.332,-7.979,-0.332,360,330,-0.083333333,1,"Nairobi All Share Index",-0.004311295,0,-0.083114005,774753.95,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",844983.95,0,0.916885995290206,0.000000000290206414454985,-0.0831140047097936,0.000000000290206428332773,0.000507101451946286,-0.0513649645480537,-0.0000421472324654067,0.00426914776753459,0,0,0.04,0,0,0,-0.0394928985480537,-1.22649289854805,-0.0831140047097936,8.22788599529021,-0.00332456018839174,0.328675439811608,0,0,-0.0797894445214018,7.8992105554786,-0.00332456018839174,0.328675439811608
"1125","B7A8F32E-4468-4A58-901A-3A2457E0732D","63E966AC-F07A-E411-8298-A45D36CA17D6","BA757914-96EB-E211-AD2F-000C29D7DB13","I&M Holdings Ltd Ord 1.00","Listed Equity","EQUITIES",93520,0,0,0,0,93520,351000,0.021547268,351000,0.998888889,"00:00.0",1,0,0,0,0,2.155,-0.111,0,0,-0.111,0,45,44.95,-0.001111111,1,"Nairobi All Share Index",-0.0000239414,0,-0.001111111,350610,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",351000,0,0.998888888888889,-0.000000000111111009282183,-0.00111111111111106,-0.000000000111111062841771,0.000229485554822776,-0.0213177824451772,-0.000000254983949803073,0.0000236864160501969,0,0,0,0,0,0,0.000229485554822776,-2.15477051444518,-0.00111111111111106,0.109888888888889,0,0,0,0,-0.00111111111111106,0.109888888888889,0,0
"1126","DDE3585D-E338-4E1C-B188-DB094C46741D","63E966AC-F07A-E411-8298-A45D36CA17D6","00E83D5F-FF5F-DF11-B84B-00C09FC85DD6","Athi River Mining Ord 5.00","Listed Equity","EQUITIES",2000,0,0,0,0,2000,4856250,0.298116575,4856250,1,"00:00.0",1,0,0,0,0,29.812,0,0,0,0,0,5.55,5.55,0,1,"Nairobi All Share Index",0,0,0,4856250,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",4856250,0,1,0,0,0,0.0031785722757711,-0.294938002724229,0,0,0,0,0,0,0,0,0.0031785722757711,-29.8088214277242,0,0,0,0,0,0,0,0,0,0
"1127","7AF9BA79-2043-4CB2-82C4-E1B52578787C","63E966AC-F07A-E411-8298-A45D36CA17D6","979AF572-FDE4-E011-8DD5-F8BB536C7A63","Stanbic Holdings Plc Ord.5.00","Listed Equity","EQUITIES",38200,0,0,0,0,38200,702793.8,0.043143265,702793.8,1,"00:00.0",1,0,0,0.05,0,-0.686,0,0,0,0,0,96,96,0,1,"Nairobi All Share Index",0,0,0,702793.8,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",702793.8,0,1,0,0,0,0.000460001212512498,-0.0426832637874875,0,0,0,0,0.05,0,0,0,-0.0495399987874875,0.636460001212513,0,0,0,0,0,0,0,0,0,0
