X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,Y
0.09404895,0.209498203,-0.084811917,0.208251891,0.125964436,0.185766202,-0.081525794,-0.079871565,-0.032268682,0.157323115,-0.046227285,-0.020009536,-0.094328578,0.197750158,-0.090422325,-0.088094615,-0.205042049,-0.069107602,-0.074149098,-0.091003118,-0.069382784,-0.017691457,-0.036973649,-0.002674042,-0.035434259,-0.03244443,0.013110079,-0.023147997,-0.028125548,-0.023484388,-0.023134006,-0.040193451,0.299028786,-1.463594092
0.101713463,0.235620003,-0.076288313,0.257018084,0.170757123,0.205433153,-0.086250091,-0.08176561,-0.034043783,0.089316645,-0.050678212,-0.027381474,-0.082384822,0.231326405,-0.090375692,-0.087221327,-0.204281928,-0.078798156,-0.051058283,-0.085473994,-0.06802157,-0.016669389,-0.031736074,-0.004272752,-0.037107427,-0.032443863,0.011503372,-0.022532644,-0.027786584,-0.029230602,-0.02299592,-0.040308393,-0.038050769,9.594233883
0.093507938,0.227663217,-0.086839518,0.194614174,0.117148932,0.177565265,-0.082183849,-0.084837461,-0.024933791,0.169725728,-0.052042553,-0.001516698,-0.092864788,0.041558056,-0.089297872,-0.090188858,-0.205205811,-0.087414058,-0.092733137,-0.089161842,-0.068640492,-0.017536329,-0.034781349,-0.018473537,0.280321849,0.107524388,0.008935148,-0.022700174,-0.028595433,-0.030678329,-0.002803744,0.095505947,-0.036046987,14.65450793
-0.133083823,-0.0554307,-0.08899593,-0.009692596,-0.075052229,-0.05949098,-0.083204185,-0.077443778,0.07100614,-0.036033184,0.11357613,0.121205007,0.130206145,-0.047194764,-0.085998521,-0.090699097,0.037287948,0.214320133,-0.074542739,-0.082311004,-0.107545386,-0.016244982,-0.032894057,-0.03568362,0.042613132,0.051128996,-0.022915463,-0.021643491,-0.028057871,0.014432611,-0.015290475,0.017859929,-0.037231358,9.956134815
-0.123573932,-0.050711799,-0.094468869,-0.040165151,-0.07385851,-0.058612372,-0.085392553,-0.082823241,-0.022719418,-0.070518477,0.081346678,0.1053227,0.122979219,-0.049836154,-0.092053419,-0.090991243,0.030947851,0.209787643,-0.077717398,-0.089279308,-0.102595328,-0.017333962,-0.034582917,-0.024872438,-0.036622835,-0.032121661,-0.019944897,-0.021632314,-0.027524868,-0.028820172,-0.022848219,-0.03955274,-0.037781556,5.570817755
-0.157377006,-0.049430211,-0.086180369,-0.030043042,-0.069405479,-0.045544757,-0.086254032,-0.080021461,0.070083929,-0.100267091,0.174802314,0.121057819,0.129165845,-0.047541945,-0.088280048,-0.088002217,0.078921577,0.121342297,-0.077716796,-0.076310839,-0.098376337,-0.016228021,-0.013833509,-0.019231986,-0.030189124,-0.022414916,-0.005467006,-0.022049772,-0.023584336,-0.028730698,-0.017736861,-0.031328809,-0.036837163,7.053522547
-0.062578637,-0.054852648,-0.093761838,-0.042564901,-0.07529304,-0.070704962,-0.087999955,-0.086874514,-0.027149149,-0.030587631,0.120322387,0.078341711,0.13381553,-0.045663233,-0.089234552,-0.089741179,0.008526908,0.099289461,-0.075120475,-0.091171849,-0.093939234,-0.016389507,-0.018190881,0.43020852,0.207796634,0.534438564,0.740401135,-0.022524757,0.557330578,-0.029762571,0.172486432,0.399311757,-0.037258696,14.3380368
-0.135392478,-0.053843331,-0.090169153,-0.036236376,-0.070990218,-0.067600858,-0.086900438,-0.08322349,0.007340846,-0.073634957,0.149364797,0.152019584,0.102497915,-0.046246518,-0.086373004,-0.085466703,-0.034003955,0.095779856,-0.074076468,-0.088752316,-0.086424345,-0.016456624,0.202685509,-0.019166893,-0.037308437,-0.029112656,-0.022219562,-0.022078613,-0.027763044,-0.012621979,-0.023491054,0.320582982,-0.037612611,3.883850861
-0.14469112,-0.04952258,-0.091841248,-0.043942502,-0.072480393,-0.062788989,-0.083778244,-0.083969436,-0.041633833,-0.138755829,0.119298244,0.104591034,0.129685241,-0.048344727,-0.085835217,-0.088228259,0.005628328,0.095333668,-0.080399831,-0.096157982,-0.095530808,-0.017248642,-0.025319436,-0.028134244,-0.026183146,-0.030268435,-0.021785683,0.002905961,-0.027249982,-0.023297721,-0.023260638,-0.035189379,-0.03692637,7.637807206
-0.147397063,-0.048404173,-0.09120501,-0.045227065,-0.069054002,-0.060469279,-0.084601128,-0.086029281,-0.027460409,-0.044725948,0.133818664,0.150942579,0.121582383,-0.047362259,-0.08832826,-0.088076042,0.014792434,0.10548356,-0.080004,-0.090846845,-0.09017719,-0.017453846,-0.03172513,-0.026317135,-0.03174549,-0.031950321,-0.021507185,-0.022088406,-0.00477839,-0.028864231,-0.023010037,-0.040345803,-0.037285324,7.012602789
-0.057010929,-0.062872587,-0.093621721,0.002749168,-0.077368854,-0.073659083,-0.087001536,-0.084295142,-0.04157873,-0.050044879,0.12713238,0.168934555,0.122919513,-0.045464988,-0.087696129,-0.085748723,0.06519322,0.108404921,-0.076932101,-0.092855078,-0.110478902,-0.016890549,-0.014491812,-0.02466932,-0.034325899,-0.032095909,-0.022108524,-0.018213469,-0.02816774,-0.027629148,-0.018647474,0.159061531,-0.037051797,6.070944407
-0.114519708,-0.05218798,-0.095022596,-0.031464427,-0.072257171,-0.063502584,-0.085472863,-0.082635429,-0.008082747,-0.002862718,0.096921434,0.137560822,0.132689134,-0.046650959,-0.091283261,-0.088872006,0.09364786,0.144196967,-0.078079101,-0.086712673,-0.111491641,-0.017473672,-0.026976952,-0.019472313,-0.035031762,-0.034426238,-0.020789199,-0.022449279,-0.027163702,0.04172396,-0.022539619,0.010134083,-0.037739621,7.421762682
-0.146822348,-0.04853894,-0.089530572,-0.040253083,-0.067817759,-0.057003874,-0.087805014,-0.085663685,-0.008326039,-0.040504293,0.168953386,0.074216283,0.121958621,-0.048160741,-0.085214502,-0.086947815,0.038939999,0.221489442,-0.073905804,-0.080947941,-0.108368432,-0.016760817,-0.034149011,-0.025505883,-0.035772636,-0.033352468,-0.021141838,-0.021028652,0.0058939,-0.028301747,-0.022880192,0.169599163,-0.037751368,5.738272592
-0.123948331,-0.055648415,-0.089620683,-0.037125753,-0.075680282,-0.074907584,-0.085094194,-0.093080471,-0.003441573,-0.026165551,0.126603265,0.074124447,0.129523007,-0.04668089,-0.086688605,-0.089640937,0.009223047,0.055581925,-0.082239106,-0.086315496,-0.091495457,-0.01738501,-0.033241697,-0.027675164,-0.036944252,-0.03172249,-0.020742503,-0.023156834,-0.028329631,-0.028885997,0.010209862,-0.039830955,-0.03727585,7.071594312
-0.109793504,-0.05628882,-0.091920586,-0.034513921,-0.075645453,-0.071406103,-0.082602392,-0.0896402,0.00189854,-0.033904729,0.117206635,0.13668337,0.117369256,-0.046443942,-0.087595235,-0.088920182,0.033079986,0.08199604,-0.080851273,-0.085707076,-0.102181271,-0.017237091,-0.034921142,-0.026747793,-0.03690265,-0.031999477,-0.016757564,-0.022993475,-0.024909718,-0.028650101,-0.022698393,-0.040879536,-0.037285588,8.306595095
-0.104007421,-0.055280805,-0.090506929,-0.038004123,-0.075093761,-0.076939099,-0.08401081,-0.083906251,-0.017676348,0.023670415,0.127873792,0.089666667,0.127564351,-0.04679336,-0.085584757,-0.085039042,-0.015595967,0.101512656,-0.082555342,-0.094527321,-0.093660718,-0.017258633,-0.031987225,-0.007502296,-0.03678313,-0.033905922,-0.021001451,-0.02279506,0.02471115,-0.028454965,-0.023144559,-0.0115427,-0.037649063,4.488001436
-0.119525323,-0.049353492,-0.088883813,-0.03354104,-0.071949412,-0.071941111,-0.08506696,-0.079972761,0.070216857,0.031032383,0.128340631,0.166938466,0.142653638,-0.045592274,-0.085100203,-0.084442459,-0.013729813,0.105309943,-0.079550811,-0.084539197,-0.080948,-0.016218274,-0.032828406,-0.021588366,-0.035007038,-0.030946256,-0.021323145,-0.02224347,-0.02620484,-0.028539622,-0.023409308,0.013661679,-0.037574914,4.724114538
-0.088761014,-0.050478982,-0.088793827,-0.026931801,-0.074637831,-0.074177069,-0.088251883,-0.086187254,0.079543957,0.031094819,0.140702023,0.13695029,0.156558213,-0.045883187,-0.088459989,-0.081368683,0.039448186,0.105812026,-0.080096053,-0.08263952,-0.085913112,-0.01685289,-0.0340715,-0.027882685,-0.03633091,-0.024035008,-0.021356128,-0.022425894,-0.027415947,-0.028814926,-0.022097135,-0.039645218,-0.03748119,6.729618484
-0.116868792,-0.052157244,-0.089378679,-0.037865443,-0.072880139,-0.067802073,-0.085139853,-0.087312962,0.005793397,0.170049009,0.145922686,0.135502613,0.125489136,-0.046143389,-0.087254351,-0.085973832,0.005350913,0.181769034,-0.079611426,-0.081117158,-0.093206032,-0.011629102,-0.035630512,-0.025107412,-0.035252276,-0.035396726,0.003233687,-0.021322495,-0.023773305,-0.025383154,-0.022578374,-0.03971948,-0.038614404,4.454672754
-0.083565501,-0.061376141,-0.087375467,-0.022286383,-0.088287281,-0.085172299,-0.082966515,-0.082994059,-0.037000256,-0.135311223,0.108565644,0.104095711,0.10709442,-0.048039947,-0.087382455,-0.087999435,-0.067061018,0.174843219,-0.080752451,-0.086033558,-0.091271823,-0.017069796,-0.036883957,-0.030152429,-0.0359076,-0.023918148,-0.015678598,-0.022335394,-0.025843621,-0.029540455,-0.022330794,-0.039124107,-0.037072719,2.894356487
-0.081585265,-0.050770608,-0.085346504,-0.044397209,-0.081956003,-0.082656424,-0.081668591,-0.08453857,0.114484951,-0.125316452,0.10284057,0.15252057,0.131822238,-0.048052634,-0.086262674,-0.087428228,-0.000530775,0.130964457,-0.079456764,-0.075955576,-0.095890039,-0.016906518,-0.036964883,-0.02931178,-0.029497991,-0.025427615,-0.022625944,-0.00093228,-0.02753543,-0.029163732,-0.023123575,-0.039870605,-0.03710049,4.449582566
-0.143336861,-0.057016767,-0.088356211,0.003992228,-0.071713402,-0.060854207,-0.083134723,-0.083035657,-0.007697371,0.009379741,0.129790414,0.150767764,0.139361879,-0.045337518,-0.082937047,-0.086400107,-0.000121605,0.142351389,-0.078054816,-0.085701141,-0.094974335,-0.017207796,-0.031226836,-0.032698747,-0.033168217,0.009167771,-0.021921949,-0.014986708,-0.027704408,-0.030364244,-0.018623034,-0.040292993,-0.037180305,6.250872771
-0.123584953,-0.052391723,-0.094968953,-0.039911781,-0.077527773,-0.062708502,-0.082888934,-0.080190059,0.309387408,-0.043004144,0.126384093,0.123817798,0.124082754,-0.046939666,-0.088614385,-0.091778836,0.120844321,0.094247151,-0.078296933,-0.059158836,-0.105160253,0.012091859,-0.034222808,-0.025821678,0.013304061,-0.03184289,-0.021650911,-0.02281591,-0.027875404,-0.01344114,-0.023931201,-0.040575854,-0.037067092,7.757735423
